Year,Circuit,Type of Action,Pending at Start,Filed,Total Caseload,Terminated,Pending at End
2007,Third Circuit,Civil Actions,1314.0,625.0,1939.0,459.0,1480.0
2007,Third Circuit,Criminal Actions,2830.0,898.0,3728.0,574.0,3154.0
2008,Fifth Circuit,Civil Actions,466.0,212.0,678.0,170.0,508.0
2008,Fifth Circuit,Criminal Actions,988.0,298.0,1286.0,194.0,1092.0
2008,First Circuit,Civil Actions,3561.0,2559.0,6120.0,2266.0,3854.0
2008,First Circuit,Criminal Actions,7646.0,2341.0,9987.0,2267.0,7720.0
2008,Second Circuit,Civil Actions,880.0,666.0,1546.0,516.0,1030.0
2008,Second Circuit,Criminal Actions,1651.0,817.0,2468.0,700.0,1768.0
2008,Third Circuit,Civil Actions,1480.0,761.0,2241.0,606.0,1635.0
2008,Third Circuit,Criminal Actions,3068.0,1024.0,4092.0,797.0,3295.0
2009,Fifth Circuit,Civil Actions,593.0,308.0,901.0,162.0,739.0
2009,Fifth Circuit,Criminal Actions,1089.0,416.0,1505.0,222.0,1283.0
2009,First Circuit,Civil Actions,3920.0,2869.0,6789.0,2253.0,4536.0
2009,First Circuit,Criminal Actions,7580.0,2169.0,9749.0,2160.0,7589.0
2009,Second Circuit,Civil Actions,1148.0,870.0,2018.0,646.0,1372.0
2009,Second Circuit,Criminal Actions,1728.0,704.0,2432.0,655.0,1777.0
2009,Third Circuit,Civil Actions,2210.0,925.0,3135.0,645.0,2490.0
2009,Third Circuit,Criminal Actions,2803.0,916.0,3719.0,950.0,2769.0
2010,Fifth Circuit,Civil Actions,739.0,304.0,1043.0,215.0,828.0
2010,Fifth Circuit,Criminal Actions,1275.0,361.0,1636.0,192.0,1444.0
2010,First Circuit,Civil Actions,4544.0,2916.0,7460.0,2146.0,5314.0
2010,First Circuit,Criminal Actions,7525.0,2224.0,9749.0,2039.0,7710.0
2010,Second Circuit,Civil Actions,1305.0,920.0,2225.0,781.0,1444.0
2010,Second Circuit,Criminal Actions,1592.0,711.0,2303.0,645.0,1658.0
2010,Third Circuit,Civil Actions,2483.0,879.0,3362.0,839.0,2523.0
2010,Third Circuit,Criminal Actions,2607.0,925.0,3532.0,743.0,2789.0
2011,Fifth Circuit,Civil Actions,821.0,238.0,1059.0,192.0,867.0
2011,Fifth Circuit,Criminal Actions,1411.0,543.0,1954.0,282.0,1672.0
2011,First Circuit,Civil Actions,5252.0,2673.0,7925.0,2310.0,5615.0
2011,First Circuit,Criminal Actions,7727.0,2083.0,9810.0,2187.0,7623.0
2011,Second Circuit,Civil Actions,1446.0,779.0,2225.0,702.0,1523.0
2011,Second Circuit,Criminal Actions,1600.0,693.0,2293.0,631.0,1662.0
2011,Third Circuit,Civil Actions,2258.0,848.0,3106.0,754.0,2352.0
2011,Third Circuit,Criminal Actions,2399.0,852.0,3251.0,760.0,2491.0
2012,Fifth Circuit,Civil Actions,873.0,377.0,1250.0,189.0,1061.0
2012,Fifth Circuit,Criminal Actions,1651.0,617.0,2268.0,312.0,1956.0
2012,First Circuit,Civil Actions,5628.0,3748.0,9376.0,2392.0,6984.0
2012,First Circuit,Criminal Actions,7330.0,2103.0,9433.0,1968.0,7465.0
2012,Second Circuit,Civil Actions,1530.0,1317.0,2847.0,742.0,2105.0
2012,Second Circuit,Criminal Actions,1649.0,783.0,2432.0,731.0,1701.0
2012,Third Circuit,Civil Actions,2349.0,1571.0,3920.0,684.0,3236.0
2012,Third Circuit,Criminal Actions,2273.0,858.0,3131.0,564.0,2567.0
2013,Fifth Circuit,Civil Actions,1101.0,305.0,1406.0,178.0,1228.0
2013,Fifth Circuit,Criminal Actions,1795.0,533.0,2328.0,300.0,2028.0
2013,First Circuit,Civil Actions,6991.0,3277.0,10268.0,2467.0,7801.0
2013,First Circuit,Criminal Actions,7350.0,2036.0,9386.0,1797.0,7589.0
2013,Second Circuit,Civil Actions,2091.0,1092.0,3183.0,814.0,2369.0
2013,Second Circuit,Criminal Actions,1702.0,856.0,2558.0,624.0,1934.0
2013,Third Circuit,Civil Actions,2483.0,1328.0,3811.0,798.0,3013.0
2013,Third Circuit,Criminal Actions,2543.0,888.0,3431.0,575.0,2856.0
2014,Fifth Circuit,Civil Actions,1111.0,287.0,1398.0,195.0,1203.0
2014,Fifth Circuit,Criminal Actions,1853.0,416.0,2269.0,336.0,1933.0
